,Feature,Correlation
1,sales_actuals_monthly__vehiclegroup14__orderintake_meanbymonth,0.6924336217843651
2,sales_actuals_monthly__vehiclegroup36__orderintake_meanbymonth,0.6924336217843651
3,customer_vehicle_relationships__vehiclegroup14__active_cars,0.5800936342569799
4,customer_vehicle_relationships__vehiclegroup36__active_cars,0.5800936342569799
5,sales_actuals_monthly__vehiclegroup15__orderintake_medianbymonth,0.5628342742936683
6,customer_vehicle_relationships__vehiclegroup01__active_cars,0.43949434808095145
7,sales_actuals_monthly__vehiclegroup35__orderintake_meanbymonth,0.42801852100893734
8,premises__vehiclegroup14__flag_order_start_meanbymonth,0.4224431933161083
9,premises__vehiclegroup36__flag_order_start_meanbymonth,0.4224431933161083
10,sales_actuals_monthly__vehiclegroup15__retail_medianbymonth,0.4148256383654553
11,sales_actuals_monthly__vehiclegroup16__orderintake_meanbymonth,0.3832425517765659
12,sales_actuals_monthly__vehiclegroup38__orderintake_meanbymonth,0.3832425517765659
13,customer_vehicle_relationships__vehiclegroup35__active_cars_meanbymonth,0.37645387847823236
14,sales_actuals_monthly__vehiclegroup11__orderintake_meanbymonth,0.37548014290897697
15,sales_actuals_monthly__vehiclegroup32__orderintake_meanbymonth,0.37548014290897697
16,sales_actuals_monthly__vehiclegroup27__retail_meanbymonth,0.3751844110209559
17,sales_actuals_monthly__vehiclegroup01__retail,0.3657707059660232
18,leads__vehiclegroup01__won_meanbymonth,0.36364585223118523
19,leasing_contracts__vehiclegroup23__end_medianbymonth,0.36066505187934633
20,registrations__vwm_luxus_ferrari_meanbymonth,0.35720676242076044
21,sales_actuals_monthly__vehiclegroup37__orderintake_medianbymonth,0.34198873996547924
22,sales_actuals_monthly__vehiclegroup13__orderintake,0.33889092168487966
23,sales_actuals_monthly__vehiclegroup34__orderintake,0.33889092168487966
24,sales_actuals_monthly__vehiclegroup27__orderintake_medianbymonth,0.33612208321497977
25,sales_actuals_monthly__vehiclegroup35__retail_meanbymonth,0.33508938747119155
26,sales_actuals_monthly__vehiclegroup04__orderintake_meanbymonth,0.32583516261570455
27,sales_stock_monthly__vehiclegroup61__netimporteranddealer_meanbymonth,0.3249531187536809
28,customer_vehicle_relationships__vehiclegroup04__active_cars_meanbymonth,0.31467270011460763
29,customer_vehicle_relationships__vehiclegroup13__active_cars,0.3135121530554437
30,customer_vehicle_relationships__vehiclegroup34__active_cars,0.3135121530554437
31,global_economy__nominal_statistical_discrepancy_euro__euro,0.31350881572837813
32,global_economy__nominal_statistical_discrepancy_lcu__euro,0.31350881572837813
33,global_economy__nominal_statistical_discrepancy_ppp__u_s_dollar,0.3133921875375433
34,leasing_contracts__vehiclegroup06__end_meanbymonth,0.31270532736451845
35,premises__vehiclegroup57__flag_order_start_medianbymonth,0.31231534650006504
36,global_economy__nominal_statistical_discrepancy_us__u_s_dollar,0.31024821891344434
37,registrations__volkswagensegment_luxus_meanbymonth,0.31017237538149983
38,customer_vehicle_relationships__vehiclegroup15__active_cars,0.3072656058891442
39,customer_vehicle_relationships__vehiclegroup16__active_cars_meanbymonth,0.3064583980679376
40,customer_vehicle_relationships__vehiclegroup38__active_cars_meanbymonth,0.3064583980679376
41,sales_flow_monthly__vehiclegroup44__cp8_meanbymonth,0.30200469826099086
42,customer_vehicle_relationships__vehiclegroup12__active_cars_medianbymonth,0.30053024335516443
43,customer_vehicle_relationships__vehiclegroup11__active_cars_meanbymonth,0.2997786681897571
44,customer_vehicle_relationships__vehiclegroup32__active_cars_meanbymonth,0.2997786681897571
45,premises__vehiclegroup42__in_sales_meanbymonth,0.2969089449050447
46,customer_vehicle_relationships__vehiclegroup27__active_cars_medianbymonth,0.29611859949639024
47,leasing_contracts__vehiclegroup47__end_meanbymonth,0.2956335411668099
48,registrations__porschesegment_macan_meanbymonth,0.2800995676488181
49,global_economy__bop_other_investment_asset_debit_capital_outflow_euro__euro,0.27589654333314334
50,global_economy__bop_other_investment_asset_debit_capital_outflow_lcu__euro,0.27589654333314334
51,customer_vehicle_relationships__vehiclegroup25__terminated_cars_meanbymonth,0.2746749686644834
52,leads__vehiclegroup01__first_touch_point_medianbymonth,0.27454205874828724
53,global_economy__bop_other_investment_liability_credit_capital_inflow_euro__euro,0.27419314615177964
54,global_economy__bop_other_investment_liability_credit_capital_inflow_lcu__euro,0.27419314615177964
55,sales_actuals_monthly__vehiclegroup50__orderintake_meanbymonth,0.2734807951861668
56,customer_vehicle_relationships__vehiclegroup63__terminated_cars_meanbymonth,0.2713423203165837
57,customer_vehicle_relationships__vehiclegroup31__active_cars_medianbymonth,0.26927292124856816
58,sales_stock_monthly__vehiclegroup09__physical_meanbymonth,0.26822968752670634
59,sales_stock_monthly__vehiclegroup29__physical_meanbymonth,0.26822968752670634
60,registrations__buildtype_cabrio_interpolated_linear,0.2681726120677719
61,customer_vehicle_relationships__vehiclegroup64__active_cars_interpolated_linear,0.2656712095275373
62,sales_actuals_monthly__vehiclegroup04__retail_medianbymonth,0.2645999460058368
63,leads__vehiclegroup05__lost_meanbymonth,0.26351527975449
64,sales_stock_monthly__vehiclegroup09__grossall_meanbymonth,0.26288557593878575
65,sales_stock_monthly__vehiclegroup29__grossall_meanbymonth,0.26288557593878575
66,global_economy__bop_direct_investment_asset_debit_capital_outflow_euro__euro,0.2601408361957557
67,global_economy__bop_direct_investment_asset_debit_capital_outflow_lcu__euro,0.2601408361957557
68,customer_vehicle_relationships__vehiclegroup10__active_cars_medianbymonth,0.25852324142742084
69,customer_vehicle_relationships__vehiclegroup30__active_cars_medianbymonth,0.25852324142742084
70,customer_vehicle_relationships__vehiclegroup06__terminated_cars_meanbymonth,0.2553196897152097
71,sales_actuals_monthly__vehiclegroup64__orderintake_fill_zero,0.2550742204017723
72,sales_actuals_monthly__vehiclegroup37__retail_medianbymonth,0.25442665561803246
73,sales_stock_monthly__vehiclegroup53__physical_interpolation_spline,0.2531426678517852
74,global_consumer__total_population_20_to_24,0.25292716336695625
75,sales_actuals_monthly__vehiclegroup31__orderintake_meanbymonth,0.2527817751468594
76,customer_vehicle_relationships__vehiclegroup50__active_cars_meanbymonth,0.2508260589626799
77,quota__vehiclegroup35__aq_interpolation_spline,0.24946282784697332
78,premises__vehiclegroup18__in_sales_meanbymonth,0.247831689497902
79,sales_actuals_monthly__vehiclegroup02__retail,0.2462801846297113
80,global_economy__index_retail_sales_real_volume__index,0.24592574872642173
81,global_consumer__female_population_20_to_24,0.2448499517142962
82,sales_actuals_monthly__vehiclegroup53__retail_meanbymonth,0.2435143155494296
83,premises__vehiclegroup46__in_sales_meanbymonth,0.2430828028756573
84,customer_vehicle_relationships__vehiclegroup02__active_cars,0.24188944373355142
85,sales_stock_monthly__vehiclegroup45__physical_interpolation_spline,0.24132306885856622
86,premises__vehiclegroup03__in_sales_meanbymonth,0.24094190457414552
87,quota__vehiclegroup27__aq_medianbymonth,0.23950545100042664
88,leasing_contracts__vehiclegroup63__end_medianbymonth,0.2388460003176189
89,leasing_contracts__vehiclegroup25__end_meanbymonth,0.2384782485979047
90,registrations__porschesegment_911_interpolated_linear,0.23811912505972394
91,premises__vehiclegroup19__in_sales_meanbymonth,0.23773550855913017
92,sales_stock_monthly__vehiclegroup62__physical_interpolated_linear,0.23732208369461139
93,customer_vehicle_relationships__vehiclegroup24__terminated_cars_meanbymonth,0.23710683026460744
94,sales_stock_monthly__vehiclegroup57__netimporteranddealer_medianbymonth,0.23705027548623064
95,premises__vehiclegroup43__in_sales_meanbymonth,0.2367614752769245
96,leads__vehiclegroup05__first_touch_point_meanbymonth,0.23649668233380366
97,customer_vehicle_relationships__vehiclegroup61__terminated_cars_medianbymonth,0.23646906029994436
98,sales_stock_monthly__vehiclegroup40__physical_interpolation_spline,0.23638975358712322
99,sales_stock_monthly__vehiclegroup44__physical_interpolation_spline,0.23526862460527825
100,sales_stock_monthly__vehiclegroup24__physical_interpolated_linear,0.23517590770023145
101,customer_vehicle_relationships__vehiclegroup37__active_cars,0.2350113289968691
102,sales_stock_monthly__vehiclegroup61__grossall_meanbymonth,0.23497907457963624
103,registrations__buildtype_pickup_fill_zero,0.2349083118697927
104,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_euro__euro,0.23483143509349086
105,global_economy__bop_portfolio_investment_asset_debit_capital_outflow_lcu__euro,0.23483143509349086
106,sales_actuals_monthly__vehiclegroup12__retail_medianbymonth,0.2330408055922619
107,sales_actuals_monthly__vehiclegroup10__retail_medianbymonth,0.2329573489512262
108,sales_actuals_monthly__vehiclegroup30__retail_medianbymonth,0.2329573489512262
109,leasing_contracts__vehiclegroup24__end_meanbymonth,0.2328469713708129
110,sales_flow_monthly__vehiclegroup02__cp8_medianbymonth,0.2325180669273767
111,registrations__porschesegment_boxster_cayman_fill_zero,0.232194380450598
112,sales_stock_monthly__vehiclegroup61__physical_meanbymonth,0.23143953115072277
113,customer_vehicle_relationships__vehiclegroup08__active_cars,0.23138321311162605
114,registrations__vwm_luxus_lamborghini_fill_zero,0.2313259665655303
115,sales_stock_monthly__vehiclegroup02__physical_interpolated_linear,0.2310956892155242
116,sales_stock_monthly__vehiclegroup35__grossall_fill_zero,0.23089085977688636
117,registrations__vwm_premium_lexus_meanbymonth,0.23009672454453828
118,sales_stock_monthly__vehiclegroup44__grossall_interpolation_spline,0.2299482211594931
119,registrations__vwm_luxus_bentley_interpolated_linear,0.22941779152768735
120,leasing_contracts__vehiclegroup58__end_medianbymonth,0.22913175488370627
121,registrations__porschesegment_panamera_fill_zero,0.22871479706486675
122,sales_stock_monthly__vehiclegroup31__grossall_medianbymonth,0.22767374574777194
123,sales_stock_monthly__vehiclegroup35__physical_interpolated_linear,0.22683103011975622
124,sales_flow_monthly__vehiclegroup27__cp8_interpolated_linear,0.22644000184529905
125,registrations__vwm_premium_mini_fill_zero,0.22640316895130363
126,registrations__vwm_luxus_aston_martin_fill_zero,0.2261658344224275
127,sales_stock_monthly__vehiclegroup15__physical_interpolated_linear,0.22557483795568828
128,registrations__buildtype_kurzheck_meanbymonth,0.22521236779494105
129,leasing_contracts__vehiclegroup57__end_medianbymonth,0.22471673764113984
130,registrations__buildtype_van_interpolated_linear,0.22443240164769426
131,leasing_contracts__vehiclegroup56__end_medianbymonth,0.2243997225883798
132,sales_flow_monthly__vehiclegroup35__cp8_fill_zero,0.22435329601727827
